"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Lea.State","ID","Year","Category","Sex","no.AmericanIndianAbs","no.AsianAbs","no.HawaiianPIAbs","no.HispanicAbs","no.BlackAbs","no.WhiteAbs","no.Two.or.more.racesAbs","TotalAbs","no.IdeaAbs","no.504Abs","no.LEPAbs"
"clarkmontessorihighschool","OH","cincinnaticity",708,0,1.7,0,48.4,1.6,39.8,8.5,0.6,28.4,10.7,45208,1,4331,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,"Clark Montessori High School",1,32.9,-3.84310944300242,1,6,"OH",3.90438e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","-","14","10","-",24,"11","2","-"
"clarkmontessorihighschool","OH","cincinnaticity",708,0,1.7,0,48.4,1.6,39.8,8.5,0.6,28.4,10.7,45208,1,4331,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,"Clark Montessori High School",1,32.9,-3.84310944300242,1,6,"OH",3.90438e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","1","22","17","6",46,"19","6","1"
"clevelandcourtelementaryschool","FL","polk",414,0,2,0,21,22,52.4,1.7,8,12,5.8,33803,0,1708,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"CLEVELAND COURT ELEMENTARY SCHOOL",1,46.9,-0.781625467412933,1,53,"FL",1.2e+11,2017,"Students absent 15 or more school dates during school year","M","-","1","-","8","13","17","2",41,"12","4","5"
"clevelandcourtelementaryschool","FL","polk",414,0,2,0,21,22,52.4,1.7,8,12,5.8,33803,0,1708,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"CLEVELAND COURT ELEMENTARY SCHOOL",1,46.9,-0.781625467412933,1,53,"FL",1.2e+11,2017,"Students absent 15 or more school dates during school year","F","-","1","1","10","12","13","1",38,"11","-","5"
"coleridge-taylormontessorielementary","KY","jeffersoncounty",606,0,0.7,0,71,2.5,22.8,3,0.2,13.7,3,40203,1,783,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Coleridge-Taylor Montessori Elementary",1,75.7,-0.681923527235033,1,7,"KY",2.10299e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","2","37","10","-",49,"2","1","-"
"coleridge-taylormontessorielementary","KY","jeffersoncounty",606,0,0.7,0,71,2.5,22.8,3,0.2,13.7,3,40203,1,783,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Coleridge-Taylor Montessori Elementary",1,75.7,-0.681923527235033,1,7,"KY",2.10299e+11,2017,"Students absent 15 or more school dates during school year","F","-","1","-","1","29","7","2",40,"-","1","-"
"collinselementaryschool","MI","foresthillspublicschools",376,0,7.2,0,6.1,4.5,74.7,7.4,9,8.5,0.8,49546,0,5153,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Collins Elementary School",1,13.8,-0.455259416044918,1,27,"MI",261461005153,2017,"Students absent 15 or more school dates during school year","M","-","2.00","-","1.00","1.00","9","4.00",17,"3.00","-","2.00"
"collinselementaryschool","MI","foresthillspublicschools",376,0,7.2,0,6.1,4.5,74.7,7.4,9,8.5,0.8,49546,0,5153,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Collins Elementary School",1,13.8,-0.455259416044918,1,27,"MI",261461005153,2017,"Students absent 15 or more school dates during school year","F","-","4.00","-","-","-","11","-",15,"-","1.00","3.00"
"comomontessori","TX","fortworthisd",320,0,2,0,41.9,46.3,7.8,1.9,20.6,10,7.5,76107,1,1845,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"COMO MONTESSORI",1,62.5,-1.69731253020454,1,9,"TX",4.8197e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","4","6","2","-",12,"2","-","-"
"comomontessori","TX","fortworthisd",320,0,2,0,41.9,46.3,7.8,1.9,20.6,10,7.5,76107,1,1845,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"COMO MONTESSORI",1,62.5,-1.69731253020454,1,9,"TX",4.8197e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","4","6","-","-",10,"3","-","2"
