"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal punishment_White","Corporal punishment_Black","Corporal punishment_Hispanic","Corporal punishment_tot_dis","in-school suspensions_White","in-school suspensions_Black","in-school suspensions_Hispanic","in-school suspensions_tot_dis","only one out-of-school_White","only one out-of-school_Black","only one out-of-school_Hispanic","only one out-of-school_tot_dis","more than one out-of-school_White","more than one out-of-school_Black","more than one out-of-school_Hispanic","more than one out-of-school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis"
"patcooperel","TX","georgetownisd",553,0,0.2,0,5.2,50.5,40,4.3,18,9.9,1.4,78626,0,7488,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"PAT COOPER EL",1,58.2,-2.46865171202826,1,21,0,0,0,0,20,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pearlshawthorneschool","NY","yonkerscityschooldistrict",881,0.1,20.5,0,13.4,37.3,25.3,3.1,1.6,8.5,0.9,10705,0,4539,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"PEARLS HAWTHORNE SCHOOL",1,30.4,-0.441700299360883,1,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pecosconnectionsacademy","NM","carlsbadmunicipalschools",512,6.1,0.2,0.8,3.9,46.7,36.9,6,1,14.6,0,88220,0,1127,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,"PECOS CONNECTIONS ACADEMY",1,60.7,-1.3565158402566,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pinewoodelementary","MN","rochesterpublicschooldistrict",327,1,4,0,15,9,63,9,13,12,1,55904,0,1009,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"PINEWOOD ELEMENTARY",1,36.7,-0.964228629623622,1,22,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pittsburghdilworthk-5","PA","pittsburghsd",496,0.6,1,0.2,60.7,2.2,28.8,6.5,0,8.7,0.2,15206,0,6024,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Dilworth K-5",1,53.8,-0.244171308958209,1,111,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pittsburghfultonk-5","PA","pittsburghsd",355,0,2,0.8,79.2,1.7,10.7,5.4,1,19.4,0.3,15206,0,6026,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Fulton K-5",1,77.3,-0.685455768114153,1,55,0,0,0,0,0,0,0,0,0,13,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pittsburghmontessorik-5","PA","pittsburghsd",354,0,3,0.8,18.9,1.7,69.5,6.2,0,8.2,1.4,15206,1,351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Montessori K-5",1,29.2,0.935215791720715,1,99,0,0,0,0,0,0,0,NA,1,6,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"pleasantridgemontessorischool","OH","cincinnaticity",657,0,0,0,50.8,4,36.8,8.4,3.8,23.3,5.2,45213,1,362,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Pleasant Ridge Montessori School",1,99.5,-2.75885250241874,1,100,0,0,0,0,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"polkstatelakelandgatewaytocollegecharterhighschool","FL","polk",214,0,1,0,32.2,19,42.5,3.7,2,2,4.7,33803,0,8246,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER HIGH SCHOOL",1,4.7,-1.27077682183773,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prescottvalleyschool","AZ","prescottvalleycharterschool",258,1.9,1,0.8,1.2,39.5,54,1.9,10,22.9,4.7,86314,0,2321,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,"Prescott Valley School",1,75.6,-0.233545944454774,1,24,0,0,0,0,26,0,20,2,5,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
