"","schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal.punishment_White","Corporal.punishment_Black","Corporal.punishment_Hispanic","Corporal.punishment_tot_dis","in.school.suspensions_White","in.school.suspensions_Black","in.school.suspensions_Hispanic","in.school.suspensions_tot_dis","only.one.out.of.school_White","only.one.out.of.school_Black","only.one.out.of.school_Hispanic","only.one.out.of.school_tot_dis","more.than.one.out.of.school_White","more.than.one.out.of.school_Black","more.than.one.out.of.school_Hispanic","more.than.one.out.of.school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis","Black_num","Hispanic_num","White_num","tot_OSSsus","tot_OSSRate","tot_ISSsus","tot_ISSRate","white_OSS_rate","black_OSS_rate","hispanic_OSS_rate","white_ISS_rate","black_ISS_rate","hispanic_ISS_rate","zeroISS","issP","zeroOSS"
"167","montessorielementaryschool2","NM","montessorielementaryschool",421,1,1,0,1.2,45.4,45,6.2,0,7.1,0,87107,1,929,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"MONTESSORI ELEMENTARY SCHOOL",1,20.4,-0.0653154002436001,1,76,0,0,0,0,0,0,0,NA,3,1,1,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,191,189,6,0.0155844155844156,0,0,0.0158730158730159,0.2,0.0104712041884817,0,0,0,"zero",0.628677364547732,"nonZero"
"168","montessorimagnetatmoylanschool","CT","hartfordschooldistrict",305,0.7,5.2,0,17,51.1,23.6,2.3,11.8,7.2,1.3,6106,1,1641,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Montessori Magnet at Moylan School",1,51.3,-0.125447925382085,1,78,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,52,156,72,0,0,1,0.00357142857142857,0,0,0,0.0138888888888889,0,0,"nonZero",0.622752115958562,"zero"
"169","montessorimagnetschool1","NY","albanycityschooldistrict",293,0.3,7.2,0,17.7,12,55.6,7.2,6,7.8,4,12205,1,222,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"MONTESSORI MAGNET SCHOOL",1,22.1,1.42143465937074,1,79,0,0,0,0,0,0,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,52,35,163,0,0,1,0.004,0,0,0,0,0,0.0285714285714286,"nonZero",0.49109745524112,"zero"
"170","montessorimagnetschool2","CT","capitolregioneducationcoun",350,0,3.4,0,11.1,54.6,26.3,4.6,10.3,15.7,4.9,6106,1,210,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Montessori Magnet School",1,54.6,-0.138708525507062,1,80,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,39,191,92,0,0,1,0.0031055900621118,0,0,0,0.0108695652173913,0,0,"nonZero",0.48489095458285,"zero"
"171","montessoriregionalcs","PA","montessoriregionalcs",523,1,3.4,0,13.8,8.8,69,4,3.3,5.5,0.6,19142,1,818,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"Montessori Regional CS",1,59,-1.26791255911002,1,81,0,0,0,0,0,0,0,NA,3,5,1,NA,2,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,72,46,361,15,0.0313152400835073,0,0,0.0138504155124654,0.0972222222222222,0.0652173913043478,0,0,0,"zero",0.58880083404622,"nonZero"
"172","montessorischool27","NY","yonkerscityschooldistrict",382,0.3,5,0,20.2,58.6,13.6,2.1,6.5,12,0.5,10705,1,4269,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"MONTESSORI SCHOOL 27",1,52.1,-0.833249013646672,1,82,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,77,224,52,0,0,0,0,0,0,0,0,0,0,"zero",0.545445722234256,"zero"
"173","montessorischool31","NY","yonkerscityschooldistrict",382,0.3,6,0,17.8,47,24.6,3.9,11.5,17,0.3,10710,1,1527,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"MONTESSORI SCHOOL 31",1,50.3,-0.848108995877669,1,83,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,68,180,94,0,0,0,0,0,0,0,0,0,0,"zero",0.436346354541567,"zero"
"174","moreheadmontessori","NC","durhampublicschools",266,0,2.6,0,28.6,20.7,45,3.4,10.2,13.9,0,27707,1,554,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Morehead Montessori",1,32.2,0.35075251733917,1,84,0,0,0,0,3,5,0,NA,0,2,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,76,55,120,3,0.0119521912350598,8,0.0318725099601594,0,0.0394736842105263,0,0.025,0.0657894736842105,0,"nonZero",0.438404159794112,"nonZero"
"175","mountainviewmontessoricharter","CA","victorelementary",209,1.9,5.7,3.8,14.4,43.5,28.2,2.4,6.2,7,0,92395,1,8587,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"Mountain View Montessori Charter",1,56,-1.12999305119239,1,86,0,0,0,0,0,0,0,NA,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,91,59,1,0.00555555555555556,0,0,0.0169491525423729,0,0,0,0,0,"zero",0.7348791145402,"nonZero"
"176","mountainwestmontessoriacademy","UT","mountainwestmontessoriacademy",490,0,1,1,0,9.4,83.1,5.3,1,16.7,4.3,84009,1,1455,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,"Mountain West Montessori Academy",1,19.2,0.695806946446248,1,87,0,0,0,0,4,0,1,NA,1,0,1,NA,5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,46,407,7,0.0154525386313466,5,0.011037527593819,0.0147420147420147,NA,0.0217391304347826,0.00982800982800983,NA,0.0217391304347826,"nonZero",0.368059361067097,"nonZero"
